c_id,verdict,priority,disposition,tc_ids,notes
C01,PARTIAL,P0,TEST,TC-SEARCH-05+TC-SEARCH-06+TC-SEARCH-07+TC-SEARCH-09+TC-SEARCH-10+TC-SEARCH-13+TC-SEARCH-14+TC-SEARCH-15+TC-SEARCH-18+TC-SEARCH-19,positional BM25 query + limit caps + unfiltered list; missing repeatable --agent/--workspace/--offset; results hard-capped <=50 (T16)
C02,MISSING,P1,TEST,TC-IMPORT-11+TC-SEARCH-19,search time filters absent; import-side since/until (T13) is the analog; confirm registry 1.20.4 build before asserting import behavior
C03,PARTIAL,P2,TEST,TC-SEARCH-10+TC-SEARCH-11,--robot emits parseable JSON; default table top-10 + total; jsonl/compact/fields/highlight/request-id absent
C04,MISSING,P2,GAP-DEFERRED,TC-SEARCH-22,no cursor/offset query surface; do NOT negative-assert pagination metadata (Pagination struct exists schema.rs:134-157)
C05,MISSING,P2,TEST,TC-SEARCH-23,query-time aggregation absent; corpus-level timeline/stats grouping is the partial analog; match_type has no analog at all
C06,MISSING,P2,GAP-DEFERRED,TC-SEARCH-24,no explain/dry-run/timeout diagnostics; nearest signal is exit-4 empty machine mode (T19); assert payload not bare code (exit-4 collision)
C07,PARTIAL,P1,TEST,TC-SEARCH-01+TC-SEARCH-04,no --mode flag; realized mode implicit in build features + enrichment state; hybrid = KG boost count x10000 not RRF
C08,MISSING,P3,GAP-DEFERRED,TC-ENRICH-01+TC-SEARCH-25,no embeddings/ANN by design; nearest alternative is enrichment concepts (T21/T23) in-memory REPL-bound
C09,MISSING,P3,GAP-DEFERRED,TC-ENRICH-01+TC-IMPORT-14+TC-SEARCH-04,fixed BM25 Okapi scorer (T16/T36); no model registry or rerank stage
C10,MISSING,P3,GAP-DEFERRED,TC-ENRICH-01+TC-IMPORT-14+TC-SEARCH-04,no daemon/latency tiers; in-process singleton (T39) rebuilds BM25 per call
C11,MISSING,P2,GAP-DEFERRED,TC-ENRICH-01+TC-IMPORT-14+TC-SEARCH-04,no chained-search line format or consumer flag; nearest is T33 export full dumps
C12,PARTIAL,P2,TEST,TC-IMPORT-01+TC-IMPORT-16+TC-SEARCH-20,auto-import fires once per instance + import_all skips failing connectors (T06/T07); no explicit --refresh; watcher unexposed (T14)
C13,PARTIAL,P1,TEST,TC-SEARCH-11,show = fixed 5-message/80-char preview; preview starts at first match; no line addressing or -C control
C14,MISSING,P2,TEST,TC-ENRICH-01+TC-IMPORT-14+TC-SEARCH-04,context widening absent; fixed-window show is the pin; no window/offset controls anywhere; authoritative TC missing - see ch3 gap list
C15,PARTIAL,P1,TEST,TC-ENRICH-05+TC-ENRICH-06+TC-ENRICH-07,related returns top-5 excluding self; relatedness = first 3 tokens of first user message; --min ACCEPTED BUT IGNORED (T26)
C16,PARTIAL,P1,TEST,TC-SEARCH-19,list --source is REPL-only (handler.rs:1959-1968); CLI list takes limit only; no --workspace/--current auto-resolve
C17,PARTIAL,P1,TEST,TC-TIMELINE-STATS-06,timeline groups by started_at day/week/month (week = Week of date); no since/until/today or hour/none; no agent filter; authoritative TC missing - see ch3 gap list; authoritative TC missing - see ch3 gap list; timeline REPL smoke covers grouping/labels (routed ch5->ch6 TC-AS)
C18,MISSING,P3,GAP-DEFERRED,TC-SEARCH-26,pack answer-pack format absent; would be a new terraphim feature not a parity fix
C19,MISSING,P3,GAP-DEFERRED,TC-SEARCH-26,pack-intent routing depends on C18
